ID,SongTitle,FirstLine,Year,Songwriter,Tags,tag_id,Copyright,Lyrics,edit_flg,fav_flg
20,Dem Bones,"Dem bones, dem bones, dem dry bones",,James Weldon Johnson,"Praise & Worship, Joy, Scripture","30, 17, 37",© Words: Public Domain,"<p>Chorus:<br/>Dem bones, dem bones, dem dry bones.<br/>Dem bones, dem bones, dem dry bones.<br/>Dem bones, dem bones, dem dry bones.<br/>Now hear the word of the Lord.</p><p>1<br/>Toe bone connected to the foot bone<br/>Foot bone connected to the heel bone<br/>Heel bone connected to the ankle bone<br/>Ankle bone connected to the shin bone<br/>Shin bone connected to the knee bone<br/>Knee bone connected to the thigh bone<br/>Thigh bone connected to the hip bone<br/>Hip bone connected to the back bone<br/>Back bone connected to the shoulder bone<br/>Shoulder bone connected to the neck bone<br/>Neck bone connected to the head bone<br/>Now hear the word of the Lord.</p><p>2<br/>Head bone connected from the neck bone<br/>Neck bone connected from the shoulder bone<br/>Shoulder bone connected from the back bone<br/>Back bone connected from the hip bone<br/>Hip bone connected from the thigh bone<br/>Thigh bone connected from the knee bone<br/>Knee bone connected from the shin bone<br/>Shin bone connected from the ankle bone<br/>Ankle bone connected from the heel bone<br/>Heel bone connected from the foot bone<br/>Foot bone connected from the toe bone<br/>Now hear the word of the Lord.</p><p>(Ezekiel 37:1-14)</p>",,FALSE
21,Down By The Riverside,"I'm gonna lay down my burdens, down by the riverside",,Unknown,"Baptism, Peace, Caribbean, Short Chorus","3, 26, 48, 39",© Words: Public Domain,"<p>I'm gonna lay down my burdens, down by the riverside<br/>Down by the riverside, down by the riverside<br/>Oh I'm gonna lay down my burdens down by the riverside<br/>Ain't gonna study war no more<br/>Well I ain't gonna study war no more, ain't gonna study war no more<br/>Ain't gonna study war no more<br/>&nbsp;</p>",,FALSE
22,Down In My Heart (I've Got The Joy),"I've got the joy, joy, joy, joy",,George Willis Cooke,"Joy, Peace, Short Chorus","17, 26, 39",© Words: Public Domain,"<p>1<br/>I’ve got the joy, joy, joy, joy<br/>Down in my heart (where?)<br/>Down in my heart (where?)<br/>Down in my heart<br/>I’ve got the joy, joy, joy, joy<br/>Down in my heart (where?)<br/>Down in my heart to stay</p><p>Chorus:<br/>And I'm so happy<br/>So very happy<br/>I've got the love of Jesus in my heart<br/>And I'm so happy<br/>So very happy<br/>I've got the love of Jesus in my heart</p><p>2<br/>I have the love of Jesus Christ my saviour down in my heart...</p><p>3<br/>I've got the peace that passes understanding down in my heart...</p><p>4<br/>I know the devil doesn't like it, but it's down in my heart...</p>",,FALSE
23,Draw Me Close To You,Draw me close to You,1994,Kelly Carpenter,Presence of God,32,"© Copyright 1994 Mercy/Vineyard Publishing (ASCAP) (admin. in North America by Music Services, Inc. obo Vineyard Music USA).",<p>Draw me close to You<br/>Never let me go<br/>I lay it all down again<br/>To hear You say that I'm Your friend</p><p>You are my desire<br/>And no one else will do<br/>'Cause nothing else can take Your place<br/>To feel the warmth of Your embrace</p><p>Help me find a way<br/>Bring me back to You</p><p>You're all I want<br/>You're all I've ever needed<br/>You're all I want<br/>Help me know You are near</p><p>(Repeat lyrics above)</p><p>You're all I want<br/>You're all I've ever needed<br/>You're all I want<br/>Help me know You are near<br/>Help me know You are near<br/>Help me know You are near</p>,,FALSE
24,Every Praise,Every praise is to our God,,"Hezekiah Walker, John David Bratton","Praise & Worship, Short Chorus","30, 39",© Li'l Eva Music (Admin. by EMI Christian Music Publishing),"<p>Every praise is to our God<br/>Every word of worship with one accord<br/>Every praise every praise is to our God<br/>Sing hallelujah to our God<br/>Glory hallelujah is due our God<br/>Every praise every praise is to our God</p><p>God my Savior<br/>God my Healer<br/>God my Deliverer<br/>Yes He is, yes He is</p><p>Yes He is, yes He is [repeat]</p><p>Every praise is to our God.<br/>Every word of worship with one accord</p><p>Every praise every praise [repeat]<br/>Is to our God</p>",,FALSE
25,Everybody Ought To Know,Everybody ought to know,1940,Harry Dixon Loes,"Majesty of God, Jesus, Short Chorus","22, 49, 39","© 1940 New Spring (Admin. by Brentwood-Benson Music Publishing, Inc.)",<p>Everybody ought to know<br/>Everybody ought to know<br/>Who Jesus is (x 3)<br/>He's the Lily of the valley<br/>He's the bright and morning star<br/>He's the fairest of ten thousand<br/>Everybody ought to know</p>,,FALSE
26,Father Abraham,Father Abraham had many sons,,Unknown,"Children's Songs, Unity","6, 45",Copyright Information Unknown,"<p>1<br/>Father Abraham had many sons<br/>Had many sons had Father Abraham<br/>And I am one of them<br/>And so are you<br/>So let's just praise the Lord<br/>[Shout ""right hand"" and move right hand, as if marching.]</p><p>2<br/>Father Abraham had many sons<br/>Had many sons had Father Abraham<br/>And I am one of them<br/>And so are you<br/>So let's just praise the Lord<br/>[Shout ""right hand, left hand"" and move both, as if marching.]</p><p>3<br/>Father Abraham had many sons<br/>Had many sons had Father Abraham<br/>And I am one of them<br/>And so are you<br/>So let's just praise the Lord<br/>[Shout ""right hand, left hand, right foot"" and move all, as if marching.]</p><p>4<br/>Father Abraham had many sons<br/>Had many sons had Father Abraham<br/>And I am one of them<br/>And so are you<br/>So let's just praise the Lord<br/>[Shout ""right hand, left hand, right foot, left foot"" and move all, as if marching.]</p><p>5<br/>Father Abraham had many sons<br/>Had many sons had Father Abraham<br/>And I am one of them<br/>And so are you<br/>So let's just praise the Lord<br/>[Shout ""right hand, left hand, right foot, left foot, chin up"" and move all, as if marching.]</p><p>6<br/>Father Abraham had many sons<br/>Had many sons had Father Abraham<br/>And I am one of them<br/>And so are you<br/>So let's just praise the Lord<br/>[Shout ""right hand, left hand, right foot, left foot, chin up, turn around"" and move all, as if marching.]</p><p>7<br/>Father Abraham had many sons<br/>Had many sons had Father Abraham<br/>And I am one of them<br/>And so are you<br/>So let's just praise the Lord<br/>[Shout ""right hand, left hand, right foot, left foot, chin up, turn around, sit down"" and move all, as if marching. Sit down at the end.]</p>
",,FALSE
27,Father I Adore You,Father I adore You,1972,Terrye Coelho,"Love for God, Surrender, Praise & Worship","20, 41, 30",© 1972 CCCM Music (Admin. by Maranatha! Music (Capitol CMG)),<p>Father I adore You<br/>Lay my life before You<br/>How I love You</p><p>Jesus I adore You<br/>Lay my life before You<br/>How I love You</p><p>Spirit I adore You<br/>Lay my life before You<br/>How I love You</p>,,FALSE
28,Fill My Cup (Let it overflow),"O fill my cup, let it overflow",1986,Isaiah Jones,"Children's Songs, Love, Short Chorus","6, 19, 39",© 1970 Davike Music Company. Assigned 1986 Fricout Music Company/Davike Music Company. All rights reserved.,"<p>O fill my cup, let it overflow (fill it up),<br/>O fill my cup, let it overflow (fill it up),<br/>O fill my cup, let it overflow (fill it up),<br/>Let it overflow with love (fill it, fill it, fill it up).</p><p>Amazing grace, how sweet the sound<br/>That saved a wretch like me!<br/>I once was lost, but now am found,<br/>Was blind, but now I see.</p>",,FALSE
29,"Fire, Fire, Fire (Fire fall on me)","Fire, fire, fire, fire fall on me",,Unknown,"Holy Spirit, Pentecost, Short Chorus, Caribbean","16, 27, 39, 48",Copyright Information Unknown,"<p>Fire, fire, fire, fire fall on me<br/>On the day of Pentecost, fire fall on me.<br/>On the day of Pentecost, fire fall on me.</p>",,FALSE
30,Gentle Shepherd,Gentle Shepherd come and lead us,1974,William J. Gaither,"Guidance, Strength, Meditation","14, 40, 23",© William J. Gaither,<p>Gentle Shepherd come and lead us<br/>for we need you to help us find our way<br/>Gentle Shepherd come and feed us<br/>for we need your strength from day to day</p><p>There's no other we can turn to<br/>who can help us face another day</p><p>Gentle Shepherd come and lead us<br/>for we need to you to help us find our way</p>,,FALSE
31,Giants (They gotta come down),Giants do die,2006,Donald L. Lawrence,"Christian Warfare, Power of God, Victory","7, 29, 46",© 2006 Q W Publishing (Admin. by BMG Music Publishing),"<p>Giants do die,<br/>The bigger they are, the harder they fall.</p><p>Giants, they die,<br/>Just walk around the Jericho wall.</p><p>Now we come in Your name<br/>And we stand on Your word,<br/>What is loosed in the heavens,<br/>Will be loosed on earth.</p><p>Now we come in Your name<br/>And we stand on Your word,<br/>What is loosed in the heavens,<br/>Will be loosed on earth;<br/>Let God arise, giant, die.</p>",,FALSE
32,Give Me Oil In My Lamp,"Give me oil in my lamp, keep me burning",,A. Sevison,"Perseverance, Strength, Short Chorus","28, 40, 39",Copyright Information Unknown,"<p>1<br/>Give me* oil in my lamp, keep me burning.<br/>Give me oil in my lamp, I pray.<br/>Give me oil in my lamp, keep me burning.<br/>Keep me burning till the break of day.</p><p>Chorus:<br/>Sing hosanna, sing hosanna,<br/>sing hosanna to the King of kings!<br/>Sing hosanna, sing hosanna,<br/>sing hosanna to the King!</p><p>2<br/>Give me love in my heart, keep me sharing.<br/>Give me love in my heart, I pray.<br/>Give me love in my heart, keep me sharing.<br/>Keep me sharing till the break of day.</p><p>3<br/>Give me joy in my heart, keep me singing.<br/>Give me joy in my heart, I pray.<br/>Give me joy in my heart, keep me singing.<br/>Keep me singing till the break of day.</p><p>4<br/>Give me faith in my heart, keep me praying.<br/>Give me faith in my heart, I pray.<br/>Give me faith in my heart, keep me praying.<br/>Keep me praying till the break of day.</p><p>*Alternately: ""A little more""</p>",,FALSE
33,Give Thanks (With a grateful heart),Give thanks with a grateful heart,1978,Henry Smith,"Thankfulness, Work of God in Man, Jesus, Short Chorus","43, 47, 49, 39",© 1978 Integrity's Hosanna! Music (Admin. by EMI Christian Music Publishing (IMI)),"<p>Give thanks with a grateful heart<br/>Give thanks to the Holy One<br/>Give thanks because He's given<br/>Jesus Christ, His Son.</p><p>And now let the weak say, ""I am strong,""<br/>Let the poor say, ""I am rich,""<br/>Because of what<br/>the Lord has done for us. </p><p>Give thanks<br/>Give thanks.</p>",,FALSE
34,God is Good (How can I let Him down?),God is good,,Unknown,"God's Faithfulness, Thankfulness, Short Chorus, Caribbean","12, 43, 39, 48",Copyright Information Unknown,"<p>1<br/>God is good, <br/>God is good, <br/>God is good to me, how could I let Him down?<br/>How could I let Him down?<br/>How could I let Him down?<br/>He's so good to me</p><p>2<br/>He picked me up<br/>Turned me around<br/>Plant my feet on higher ground<br/>How could I let Him down?<br/>How could I let Him down?<br/>He's so good to me</p><p>3<br/>He saved my soul<br/>He made me whole<br/>He's been so good to me<br/>How could I let Him down?<br/>How could I let Him down?<br/>How could I let Him down?<br/>He's so good to me</p>",,FALSE
35,God Is Here,There is a sweet anointing in the sanctuary,2003,"Israel & Melease Houghton, Martha Munizzi","Presence of God, Meditation, Short Chorus","32, 23, 39",© 2003 Integrity's Praise! Music (Admin. by Capitol CMG Publishing (IMI)),"<p>There is a sweet anointing in the sanctuary<br/>There is a stillness in the atmosphere<br/>Oh, come and lay down the burdens you have carried<br/>For in the sanctuary God is here</p><p>He is here, God is here<br/>To break the yoke and lift the heavy burden<br/>He is here, God is here<br/>To heal the hopeless heart and bless the broken</p><p>Oh, come and lay down the burdens you have carried<br/>For in the sanctuary God is here</p>",,FALSE
36,God Is So Good,God is so good,,Unknown,God's Faithfulness,12,© Words: Public Domain,"<p>1<br/>God is so good,<br/>God is so good,<br/>God is so good,<br/>He's so good to me.</p><p>2<br/>He cares for me,<br/>He cares for me,<br/>He cares for me,<br/>He's so good to me.</p><p>3<br/>I'll do His will,<br/>I'll do His will,<br/>I'll do His will,<br/>He's so good to me.</p><p>4<br/>He loves me so,<br/>He loves me so,<br/>He loves me so,<br/>He's so good to me.</p><p>5. I praise His name,<br/>I praise His name,<br/>I praise His name,<br/>He's so good to me!</p>",,FALSE
37,God On The Mountain,"Life is easy, when you're up on the mountain",1976,Tracy Dartt,"Trust, God's Faithfulness","44, 12","© 1976 Manna Music, Inc. (Admin. by ClearBox Rights, LLC)","<p>Life is easy, when you're up on the mountain<br/>And you’ve got peace of mind<br/>Like you’ve never known<br/>But then things change and you're down in the valley<br/>Don’t lose faith for you're never alone</p><p>Chorus:<br/>For the God on the mountain is still God in the valley<br/>When things go wrong, He’ll make them right<br/>And the God of the good times is still God in the bad times<br/>The God of the day is still God in the night</p><p>We talk of faith when we're up on the mountain<br/>But talk comes so easy<br/>When life’s at its best<br/>But it's down in the valley of trials and temptations<br/>That’s where faith is really put to the test</p><p>Chorus</p>",,FALSE
38,"God's Not Dead, No! He's Alive","God’s not dead, No! He's alive",,Unknown,"Power of God, Resurrection, Short Chorus","29, 35, 39",Copyright Information Unknown,"<p>God’s not dead, No! He's alive,<br/>God’s not dead, No! He' alive,<br/>God’s not dead, No! He's alive.</p><p>I feel it in my hands (clap twice)<br/>I feel it in my feet (clap twice)<br/>I can feel it all over me.</p><p>God’s not dead, No! He's alive,<br/>God’s not dead, No! He's alive,<br/>God’s not dead, No! He's alive.</p><p>I feel it in my hands (clap twice)<br/>I feel it in my feet (clap twice)<br/>I can feel it all over me.</p><p>And every eye shall look up on Him (x3)<br/>When he comes hallelujah when he comes</p><p>And every knee shall bow before Him (x3)<br/>When he comes hallelujah when he comes</p><p>And we shall rise to meet our Saviour (x3)<br/>When he comes hallelujah when he comes</p>",,FALSE
39,Golden Pen,Touch my finger ont he golden pen,,Unknown,"Heaven, Caribbean, Short Chorus","15, 48, 39",Copyright Information Unknown,"<p>Touch my finger on the golden pen<br/>The golden pen, the golden pen<br/>Touch my finger on the golden pen<br/>And write my name up there<br/>Write my name, write my name up there<br/>Write my name, write my name up there</p>",,FALSE
40,Goodbye World,"Goodbye world, I'll stay no longer with you",,Unknown,"Born Again, Caribbean, Short Chorus","4, 48, 39",Copyright Information Unknown,"<p>Goodbye world, I'll stay no longer with you<br/>Goodbye pleasures of sin, I'll stay no longer with you<br/>I made up my mind to go God's way the rest of my life<br/>I made up my mind to go God's way the rest of my life</p>",,FALSE
41,Great Peace,"O Jesus, I long for great peace and sweet rest",1999,George Gordon,"Peace, Prayer, Short Chorus, Caribbean","26, 31, 39, 48",Copyright Information Unknown,"<p>O Jesus, I long for great peace and sweet rest<br/>I long for the joy just to lean on Thy breasts<br/>Recreate me and make me as one of Thine own<br/>As I kneel before Thee to petition the throne</p>",,FALSE
42,Hallelujah (I'm So Glad To Tell),Hallelujah! Hallelujah!,,Charles D. Tillman,"Joy, Praise & Worship, Short Chorus","17, 30, 39",Copyright Information Unknown,"<p>Hallelujah! Hallelujah!<br/>I'm so glad to tell,<br/>Hallelujah! Hallelujah!<br/>With my soul ’tis well</p><p>Hallelu ... hallelu ... hallelu ... Hallelujah!<br/>Praise ye the Lord!<br/>Hallelu ... hallelu ... !hallelu ... Hallelujah!<br/>Praise ye the Lord!</p><p>Praise ye the Lord (Hallelujah!)<br/>Praise ye the Lord (Hallelujah!)<br/>Praise ye the Lord (Hallelujah!)<br/>Praiiiiise yeee ... the Lord!</p><p>(Caribbean version adapted from the original song)</p>",,FALSE
43,Have You Heard of the Advent Church?,Have you heard of the Advent church of God?,,Unknown,"Christian Warfare, Short Chorus, Caribbean","7, 39, 48",Copyright Information Unknown,"<p>Have you heard of the Advent church of God?<br/>How she is moving according to prophecy<br/>For the Lord is her leader<br/>And by faith, she must conquer<br/>Have you heard of the Advent church?</p>",,FALSE
44,He's Able (To carry me through),"He's able, he's able",1958,Paul E. Paino,"Faith, Power of God, Short Chorus","10, 29, 39","© 1958 New Spring (Admin. by Brentwood-Benson Music Publishing, Inc.)","<p>He's able, He's able,<br/>I know He's able,<br/>I know my Lord is able<br/>To carry me through.<br/>(Repeat)</p><p>He healed the broken-hearted<br/>And set the captive free,<br/>He made the lame to walk again<br/>And caused the blind to see.</p><p>He's able, He's able,<br/>I know He's able,<br/>I know my Lord is able<br/>To carry me through.</p>",,FALSE
